"filename", "language", "CSS", "JavaScript", "PHP", "XML", "comment", "blank", "total"
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\header.css", "CSS", 97, 0, 0, 0, 12, 22, 131
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\home_style.css", "CSS", 31, 0, 0, 0, 3, 8, 42
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\logged-in_style.css", "CSS", 63, 0, 0, 0, 0, 13, 76
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\products_nav_style.css", "CSS", 29, 0, 0, 0, 0, 5, 34
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\products_style.css", "CSS", 62, 0, 0, 0, 1, 11, 74
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3) (1)\style\template.css", "CSS", 36, 0, 0, 0, 1, 7, 44
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\.idea\misc.xml", "XML", 0, 0, 0, -6, 0, 0, -6
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\.idea\modules.xml", "XML", 0, 0, 0, -8, 0, 0, -8
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\.idea\vcs.xml", "XML", 0, 0, 0, -6, 0, 0, -6
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\.idea\web_programming(3).iml", "XML", 0, 0, 0, -8, 0, 0, -8
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\.idea\workspace.xml", "XML", 0, 0, 0, -56, 0, 0, -56
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\account.php", "PHP", 0, 0, -71, 0, -15, -6, -92
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\add_product.php", "PHP", 0, 0, -63, 0, 0, -11, -74
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\admin_products.php", "PHP", 0, 0, -83, 0, -7, -9, -99
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\basket.php", "PHP", 0, 0, -83, 0, -5, -14, -102
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\connection.php", "PHP", 0, 0, -229, 0, -70, -39, -338
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\create_account.php", "PHP", 0, 0, -215, 0, -5, -37, -257
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\create_account_validation.php", "PHP", 0, 0, -63, 0, -15, -11, -89
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\decide_account.php", "PHP", 0, 0, -19, 0, -6, -1, -26
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\delete_account.php", "PHP", 0, 0, -157, 0, -22, -20, -199
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\display_product.php", "PHP", 0, 0, -82, 0, -1, -18, -101
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\footer.php", "PHP", 0, 0, -18, 0, -4, -2, -24
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\header.php", "PHP", 0, 0, -30, 0, -9, -7, -46
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\home.php", "PHP", 0, 0, -41, 0, -2, -8, -51
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\log-in.php", "PHP", 0, 0, -43, 0, -27, -18, -88
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\logged-in.php", "PHP", 0, 0, -108, 0, -11, -30, -149
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\ordered.php", "PHP", 0, 0, -97, 0, -24, -20, -141
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\products.php", "PHP", 0, 0, -113, 0, -18, -12, -143
